order_id,order_receipt,payment_id,amount,currency,method,created_at,status,customer_state
order_2022,RCPT-2026-2022,pay_WLtBPFX7TOrPMf,25641,INR,upi,2026-07-05 06:27:00,captured,29
order_2023,RCPT-2026-2023,pay_c9LVC2JSxyjQ31,434892,INR,upi,2026-07-04 04:01:00,captured,27
order_2024,RCPT-2026-2024,pay_I4hiCGItUBY3A4,424307,INR,upi,2026-07-09 14:03:00,captured,33
order_2025,RCPT-2026-2025,pay_U0rWEoBSou3ejx,1382146,INR,netbanking,2026-07-08 14:16:00,captured,29
order_2026,RCPT-2026-2026,pay_CdZyV6b2JD6sy3,142124,INR,upi,2026-07-07 10:34:00,captured,33
order_2027,RCPT-2026-2027,pay_nBbuQzkChMbyIb,1365681,INR,upi,2026-07-10 07:31:00,captured,33
order_2028,RCPT-2026-2028,pay_uCu2r6AZDUd7ne,867546,INR,card,2026-07-01 08:24:00,captured,27
order_2029,RCPT-2026-2029,pay_jhPInRVkLUhY7g,1758036,INR,upi,2026-07-04 00:39:00,captured,27
order_2030,RCPT-2026-2030,pay_mKZpRsQXXJcHPe,1075787,INR,wallet,2026-07-07 12:45:00,captured,07
order_2031,RCPT-2026-2031,pay_7NZRBT7qYHDBTq,791549,INR,card,2026-07-08 03:27:00,captured,29
order_2032,RCPT-2026-2032,pay_CLxb0lnXv2Rra6,183068,INR,netbanking,2026-07-08 07:48:00,captured,27
order_2033,RCPT-2026-2033,pay_DSBbszpPwIv9Iv,766672,INR,card,2026-07-09 07:44:00,captured,33
order_2034,RCPT-2026-2034,pay_tU6QlTrKVL8Zsw,483737,INR,card,2026-07-02 23:12:00,captured,07
order_2035,RCPT-2026-2035,pay_IRh1E2JDBld6DY,999750,INR,card,2026-07-05 01:03:00,captured,33
order_2036,RCPT-2026-2036,pay_Y6fpIzKMWx4sKA,1078021,INR,upi,2026-07-01 04:09:00,captured,24
order_2037,RCPT-2026-2037,pay_nOjkeaBKsoRRCQ,1137537,INR,upi,2026-07-02 06:40:00,captured,07
order_2038,RCPT-2026-2038,pay_HO4ZektUJrhQR6,1165693,INR,netbanking,2026-07-04 13:07:00,captured,24
order_2039,RCPT-2026-2039,pay_Atpf7ZJ69PqcUD,823854,INR,upi,2026-07-10 01:56:00,captured,33
order_2040,RCPT-2026-2040,pay_Y8DztgjzEPyVcf,356136,INR,netbanking,2026-07-10 13:40:00,captured,07
order_2041,RCPT-2026-2041,pay_9OHzlwUMVmI5BR,1795584,INR,card,2026-07-07 16:52:00,captured,27
order_2042,RCPT-2026-2042,pay_tazn0h6Oj5sRzD,1174754,INR,card,2026-07-04 22:10:00,captured,33
order_2043,RCPT-2026-2043,pay_LUieV0vWqaTZJO,1031014,INR,card,2026-07-07 06:58:00,captured,29
order_2044,RCPT-2026-2044,pay_HCtlRJoWcURYxP,908871,INR,upi,2026-07-06 17:48:00,captured,29
order_2045,RCPT-2026-2045,pay_12BGCSzOjD8uQO,92464,INR,upi,2026-07-09 18:21:00,captured,07
order_2046,RCPT-2026-2046,pay_SV2ceN59UAgN2B,1593285,INR,netbanking,2026-07-07 10:40:00,captured,07
order_2047,RCPT-2026-2047,pay_xjGJXke1Mo4iCp,108838,INR,netbanking,2026-07-01 09:22:00,captured,07
order_2048,RCPT-2026-2048,pay_He69s7QCs90gxw,1665498,INR,upi,2026-07-08 09:43:00,captured,07
order_2049,RCPT-2026-2049,pay_JQUdLE4rXLvNMQ,563726,INR,wallet,2026-07-07 08:00:00,captured,29
order_2050,RCPT-2026-2050,pay_BJTfsUkiH8G4Zp,1673702,INR,upi,2026-07-01 09:50:00,captured,33
order_2051,RCPT-2026-2051,pay_7i71S87XwXaHCP,563563,INR,wallet,2026-07-06 03:29:00,captured,07
order_2052,RCPT-2026-2052,pay_ob2I4ndZ4szi6s,1525894,INR,upi,2026-07-06 03:43:00,captured,33
order_2053,RCPT-2026-2053,pay_CPU6zUjzgEz6cw,453434,INR,card,2026-07-09 04:24:00,captured,33
order_2054,RCPT-2026-2054,pay_w3Ndr86ZfnN8du,455829,INR,upi,2026-07-06 03:43:00,captured,29
order_2055,RCPT-2026-2055,pay_n1uj3a1iipkOba,399421,INR,netbanking,2026-07-09 06:37:00,captured,29
order_2056,RCPT-2026-2056,pay_TGUDWFgF6cW1GC,53702,INR,upi,2026-07-05 01:08:00,captured,27
order_2057,RCPT-2026-2057,pay_gSB3tjhMKSxLsF,899090,INR,card,2026-07-07 13:43:00,captured,33
order_2058,RCPT-2026-2058,pay_nBovCzfAPxj5eZ,1305718,INR,card,2026-07-09 23:55:00,captured,27
order_2059,RCPT-2026-2059,pay_d7IPz26A4drtgF,1383849,INR,upi,2026-07-06 04:35:00,captured,29
order_2060,RCPT-2026-2060,pay_IhroAIVMPILOQb,434169,INR,upi,2026-07-02 11:54:00,captured,07
order_2061,RCPT-2026-2061,pay_liOeT8fGxCjtu6,588828,INR,upi,2026-07-06 11:00:00,captured,24
order_2062,RCPT-2026-2062,pay_PqPEBqUhArQEPc,120916,INR,card,2026-07-03 19:03:00,captured,33
order_2063,RCPT-2026-2063,pay_VVrhEAiHoIPvyU,124883,INR,wallet,2026-07-04 09:13:00,captured,33
order_2064,RCPT-2026-2064,pay_JRzhbuXMZ5f0pK,1706114,INR,card,2026-07-06 18:27:00,captured,24
order_2065,RCPT-2026-2065,pay_WeNGmWv7Ojgpkj,1613694,INR,card,2026-07-06 07:21:00,captured,27
order_2066,RCPT-2026-2066,pay_IJQ2N9u8tBDNXK,1435425,INR,card,2026-07-08 14:48:00,captured,07
order_2067,RCPT-2026-2067,pay_wrN8fKxJ7Tc4Jl,591425,INR,upi,2026-07-08 01:03:00,captured,24
order_2068,RCPT-2026-2068,pay_YZ8fOcR9GLw4yW,300237,INR,upi,2026-07-01 14:06:00,captured,24
